"model_id","term","estimate","standard_error","lower","upper","z_value","p_value","confidence_level"
"M_4DPRR","age_rcs1",0.600360142679311,0.0997304805629541,0.40489199261505,0.795828292743573,6.01982602801496,1.74604632406767e-09,0.95
"M_4DPRR","age_rcs2",0.78432154386418,0.0638741121357816,0.659130584533576,0.909512503194785,12.2791772384545,1.17183902780615e-34,0.95
"M_4DPRR","sex_female",0.364007736015983,0.052873773715989,0.260377043805924,0.467638428226042,6.88446672959731,5.80044079806069e-12,0.95
"M_4DPRR","pf_ratio_rcs1",-0.745595813728055,0.110507511509335,-0.962186556307498,-0.529005071148613,-6.74701478247539,1.50917904952739e-11,0.95
"M_4DPRR","pf_ratio_rcs2",-0.30340142022928,0.0709051090180492,-0.442372880224542,-0.164429960234017,-4.27897826307619,1.87753195673045e-05,0.95
"M_4DPRR","map_rcs1",-0.452903537783772,0.0629326870741325,-0.576249337899401,-0.329557737668143,-7.19663435394499,6.17169736942412e-13,0.95
"M_4DPRR","map_rcs2",0.0542269037037121,0.0564444785198345,-0.0564022413213081,0.164856048728732,0.960712280912594,0.336696854577649,0.95
"M_4DPRR","vasopressor",0.00335612078735171,0.0560934602277317,-0.106585041027232,0.113297282601936,0.0598308746461053,0.952290335205254,0.95
"M_4DPRR","platelet_rcs1",-0.845433769932478,0.106403821737364,-1.05398142835513,-0.636886111509825,-7.9455207165327,1.93376732494747e-15,0.95
"M_4DPRR","platelet_rcs2",0.0405385796266693,0.045392238558325,-0.048428573125298,0.129505732378637,0.893072933042966,0.371818116788624,0.95
"M_4DPRR","creatinine_rcs1",2.57413179044934,0.13342157648746,2.31263030577336,2.83563327512531,19.2932197191605,6.12381557009677e-83,0.95
"M_4DPRR","creatinine_rcs2",1.08692167446389,0.0499764725840173,0.988969588124858,1.18487376080291,21.7486672881249,7.11157287846127e-105,0.95
"M_4DPRR","four_dprr",0.0185075769651404,0.00150670429003423,0.0155544908213213,0.0214606631089595,12.2834832870356,1.11109299761422e-34,0.95
"M_DPRR","(Intercept)",-4.50489576105508,0.177036582663478,-4.85188108702154,-4.15791043508861,-25.4461292309186,7.79146121723286e-143,0.95
"M_DPRR","age_rcs1",0.84084680525119,0.102769127924577,0.639423015796429,1.04227059470595,8.18190075397244,2.79401134421452e-16,0.95
"M_DPRR","age_rcs2",0.938790705671932,0.0658506081554238,0.809725885327242,1.06785552601662,14.2563710794615,4.09186050119517e-46,0.95
"M_DPRR","sex_female",0.357048463622025,0.0538045421596157,0.251593498784512,0.462503428459539,6.63602828480189,3.22248031879517e-11,0.95
"M_DPRR","pf_ratio_rcs1",-0.393728789408367,0.114725194659531,-0.618586039060395,-0.168871539756338,-3.43192958248475,0.000599303146810427,0.95
"M_DPRR","pf_ratio_rcs2",-0.120799129347623,0.0728706460632041,-0.263622971161669,0.0220247124664223,-1.65772002683836,0.0973739896458198,0.95
"M_DPRR","map_rcs1",-0.43326094331293,0.0641282317586336,-0.55894996795209,-0.307571918673771,-6.75616544275915,1.41691618463028e-11,0.95
